mess_datum;stations_id;tmk;altitude;latitude;longitude;name;state
2017-05-09;1590;9.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-10;1590;10.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-11;1590;14.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-12;1590;16.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-13;1590;16.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-14;1590;15.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-15;1590;16.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-16;1590;21.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-17;1590;22.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-18;1590;17.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-19;1590;13.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-20;1590;13.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-21;1590;15.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-22;1590;18.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-23;1590;18.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-24;1590;17.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-25;1590;17.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-26;1590;20.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-27;1590;23.9;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-28;1590;21.2;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-29;1590;24.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-30;1590;20.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-05-31;1590;18.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-01;1590;18.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-02;1590;22;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-03;1590;19.4;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-04;1590;16.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-05;1590;16.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-06;1590;15.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-07;1590;14.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-08;1590;18.1;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-09;1590;16.6;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-10;1590;17.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-11;1590;21.8;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-12;1590;16.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-13;1590;16.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-14;1590;18.3;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-15;1590;21.5;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
2017-06-16;1590;16.7;37;51.4942;6.2463;Geldern-Walbeck;Nordrhein-Westfalen
